finding,found_on,found_by,link_id,retiring_code,what_looked_wrong,error_class,root_cause,response,rows_affected,value_cad_affected,control_added
92,2026-08-14,"automated review, verified by hand, 2026-08-14",exports:3001.10.00:2006-10,3001.10.00,"Layer 2 of Stage 1b was declared and empty from the day the stage was written. With the correlation tables extracted it can now speak, and it immediately contradicts an accepted answer: exports 3001.10.00 was accepted onto 3001.20.00, and the WCO 2002-to-2007 table says 3001.10 goes to 3001.90, with the remark 'Deletion of subheading 3001.10 because of the low volume of trade'. Confirmed from both tables.",a layer declared and left empty for as long as the stage existed,"The tables existed only as PDFs, so the layer was present, counted and silent. Its absence was disclosed rather than hidden, which was right, but the gap it left was real: 25 retirements had an official answer nobody could read. The released v1 crosswalk carries the same 3001.10 link and its OWN provenance file describes it as 'editorial judgement, not WTO-supported', naming the table that contradicts it.","WIRED. Layer 2 reads evidence/wto/wto_ch30_pairs.csv and reaches 25 retirements, CAD 24,796,853,123: imports 6 narrowed, 4 forced, 3 sent out of Chapter 30 and 6 where the record names a subheading no candidate trades under; exports 4 forced and 2 sent out. It speaks ONLY where the whole old subheading moved to one place, which is 8 subheadings across all five boundaries, because the document's `ex` marker means 'part of' and a split bounds nothing. It narrows and never names a ten-digit destination, so no branch returns `decided`. FIVE PROPOSALS MOVED, three on decided rows, and all three are warned. Two of them are the record agreeing with the analyst after the fact: the waste-pharmaceutical rows now propose 3006.92.00.00, which the analyst had reached by hand against a candidate field that never offered it. The third is the 3001.10 conflict above and is the analyst's to rule on.",25,24796853123,"Existing controls did most of the work and three caught real errors in the wiring within minutes: `every named destination traded` caught HS6 subheadings being written into official_destinations, whose contract is ten-digit codes that traded; `only a naming layer ever decides or bounds` caught the layer claiming `constrained`, which asserts an authority it does not have, and it now emits `narrowed`; and the finding-88 control `the hold re-derives without ever reading which source spoke` caught an attempt to exempt held rows on `deciding_layer == wco_correlation`, which is finding 88 repeating. That last one is REVERTED and left as the next design question: the hold's premise, that no table has been extracted, is no longer true, and the honest reformulation asks whether the EVIDENCE holds an entry for the subheading, not which layer spoke."
93,2026-08-14,analyst,exports:3001.10.00:2006-10,3001.10.00,"Accepted onto 3001.20.00. The WCO correlation for the 2002-to-2007 revision maps 3001.10 to 3001.90 and to nothing else, with the remark 'Deletion of subheading 3001.10 because of the low volume of trade'.",a link the released crosswalk knew was unsupported,"Layer 2 was empty, so nothing in the pipeline could read the table. The released v1 crosswalk carries the same 3001.10 to 3001.20 link and its OWN provenance file describes it as 'editorial judgement, not WTO-supported', naming the table that contradicts it. The link was shipped with its own contradiction recorded beside it.","RULED by the analyst on 2026-08-14: follow the WCO. No decision value changed, because Layer 2 had already moved the proposal to 3001.90.00 and the standing `accept` now resolves to it. A reason was written recording the evidence and the overturn, and the _decisions_seen ledger was re-affirmed against the new proposal so the stale-proposal warning clears honestly rather than persisting on a row that has been re-decided. The two import twins 3001.10.00.10 and 3001.10.00.90 now propose 3001.90.00.90 and are still to be answered.",3,4227953,none new; the existing stale-proposal warning is what surfaced it
94,2026-08-14,analyst,,,"The project calls the correlation tables by the filename, WTO_*.pdf, and Layer 2 was described as part of 'the official record'. The analyst asked whether WCO or WTO is correct. Reading the documents shows both are, in different senses, and shows something the method's central claim depends on.","a source cited by the wrong body, and credited with more authority than it claims","The files ARE WTO documents: WORLD TRADE ORGANIZATION mastheads, symbols G/MA/W/26, 76, 105, 122 and 164, circulated by the Committee on Market Access. The CONTENT is WCO: 'drawn up by the World Customs Organization Secretariat in accordance with instructions received from the Harmonized System Committee', with WCO copyright on the 2016 and 2020 files. More importantly all five state, in these words: 'they are not to be regarded as constituting classification decisions taken by that Committee; they constitute a guide published by the Secretariat ... They do not have legal status.'","RECORDED, not fixed, because nothing is broken. The layer order already places the tables BELOW Canada's ten-digit concordance, which is a national customs instrument for the very codes this crosswalk is built from, and the layer narrows rather than decides. That ordering is now justified in the stage docstring by the document's own words instead of by assumption. THE MANUSCRIPT MUST CARRY THE CAVEAT VERBATIM: a reviewer who reads the source will find 'they do not have legal status' on page 1, and a paper that called them the official record without qualification would have to concede it. Name them the WCO correlation tables and cite the WTO document symbol.",25,0,"none; a documentation and framing finding. The claim it constrains is prose, so the place it lives is the stage docstring and the manuscript, not a control."
95,2026-08-14,"automated review, verified by hand, 2026-08-14",imports:3006.80.90.60:2021-12,3006.80.90.60,"Seven rows asserted two things that cannot both be true. The official_record column said 'the WCO correlation left one candidate' or 'narrowed this to one subheading', naming a successor INSIDE Chapter 30 and putting it on the row as the proposal, 3006.92.00.00 on four of them and 3001.90.00 on three. The why column on the same rows said 'the goods may have left Chapter 30 entirely'. The sheet was telling the analyst that the WCO had chosen a destination in the chapter and that the goods had probably left the chapter.",a heuristic left standing on rows where the record had already refuted it,"The chapter-exit hypothesis fires when the subheading vanishes and no wording is close. That shape also fits a code the WCO merely moved, and nothing withdrew the guess once the record answered. ed7e658 saw the count should fall from 17 to 10 and wrote that expectation into check_adjudication_queue.py, but the code it shipped could not produce it: its new pre-filter tests for 'WCO correlation' in the prose, and the chapter-exit prose already contains that phrase, so the set of rows it rewrote did not change at all. Measured across revisions, by_wording is 17 in the artefact committed at 345e028, 17 in the one at ed7e658, and 17 rebuilt. The commit also left its own comment four lines above the control still saying 17. It was never run: the E: drive failed 25 seconds before it was made.","FIXED. The queue builder now withdraws the hypothesis on any row where the correlation places the subheading inside Chapter 30, keeping the true observation that the subheading is gone and the wording is weak, and carrying the record's own sentence in its place. The claim is defined once as CHAPTER_EXIT_SUFFIX and the withdrawal splits on that constant, so the two cannot drift. No verdict moved, no row was promoted, and all seven are still the analyst's to decide. by_wording is now 10 and the union with the record is 15 rather than 22, because the seven left the question rather than changing sides.",7,16186226,"none new; the control ed7e658 wrote now passes for the first time, and its comment was corrected to describe the mechanism rather than a set that moved"
96,2026-08-14,"automated review, verified by hand, 2026-08-14",imports:3002.20.00.90:2021-12,3002.20.00.90,"Six CONFIRM rows were given advice. what_this_points_to opened with 'THE OFFICIAL RECORD NARROWED THIS ROW' on rows 210, 211, 215, 217, 220 and 224, all of them settled and none of them asked to decide anything. On 215 and 220 no advice had been computed at all, so the note became the entire column and displaced the 'ACCEPT: the wording is identical' lead that identical wording is required to keep. CAD 23,548,058,842 of trade sits on the six.",a fault moved one column across rather than fixed,"ed7e658 found this note breaking 'no row recommends and declines at once' on six CONFIRM rows when it was written into why_not_recommended, and moved it to what_this_points_to. That column carries its own invariant, that guidance may speak only where a judgement is asked for, and the note was attached on every correlated row without testing the verdict. The same six rows broke the new column's rule, and two of them broke a second one. Both controls already existed and both would have caught it in one run.","FIXED. The note is attached only where the verdict starts with ANALYST, which is 14 rows. Nothing is hidden: all six settled rows still carry official_record naming the WCO correlation in stage2_adjudication_queue.csv, which is the evidence file, and the sheet is the answer file that never carried that column. Fixing the settled-row rule fixed the identical-wording rule as a consequence, because 215 and 220 held nothing but the note.",6,23548058842,"none new; two existing controls, 'no settled row is given advice' and 'identical wording outranks the leftover-line rule', both now pass"
97,2026-08-14,analyst,,,"The reasoning offered for rows 223 and 225 quoted evidence/cbsa/sched_ch30_2006.csv, where 3001.90.00.90 reads simply 'Other', and used that as the authoritative description. The analyst stopped it: the crosswalk is built from the CIMT delivery and must speak in the delivery's words, for all commodities.",a description taken from a source the crosswalk is not numbered in,"stage1b already documents why, from measurement: the tariff schedule and the trade data are two different numbering systems below six digits, and matching at full length finds 240 of 386 import codes against 54 of 56 at six digits. A ten-digit description lifted from the schedule is attached to a code that is only 62 percent likely to be the same code, and is written in a vocabulary the ranker was never calibrated on. The PIPELINE was already clean: stage1a takes code existence, stage1b takes the subheading, and the queue builder, the ranker, stage 0 and stage 2 never open a schedule at all. The gap was that nothing asserted it, so the mistake was free to be made by hand and left no trace once the wording was in.","FIXED by control rather than by code, because the code was right. 460 descriptions, both sides of every proposal, are now checked against the Stage 0 inventory. Proven to fail before being trusted: injecting the schedule's 'Other' onto row 223's successor fails it and names the row. The claim about 223 and 225 survives the correction and is stronger without the schedule: read from CIMT alone, carries_residual_marker() is True for 3001900090 under BOTH its published labels and False for the heparin and the grafting-tissue lines, and the 2002 relabel is one continuously traded line, 128 rows spanning the changeover with no gap.",0,0,every description in the queue is the delivery's own wording
98,2026-08-14,analyst,imports:3002.20.00.90:2021-12,3002.20.00.90,"Row 210, CAD 11,076,237,268 and the largest link in the delivery, carried a CONFIRM onto 3002.41.00.10, the influenza line. The analyst's words: you are connecting a catch-all to a specific one. The retiring line is the residual of 3002.20 and it lived beside 3002.20.00.10 'Vaccines against influenza virus' from 1988-02 to 2021-12, so it was defined as the human vaccines that are NOT influenza. Canada carried the same carve-out into the new subheading and spelled it out: 3002.41.00.90 reads 'Vaccines, o/t for against influenza virus, human medicine, nes'.",a leftover line sent to the very line that was carved out of it,"Nothing in the method knew that a residual line is defined by its siblings. The ranker put the influenza line first on 0.6585 against the residual's 0.6222, a margin of 0.0363 of wording, and how_they_relate read unknown so no family evidence outranked the text score. The identical link had already been rejected at first review in the signed v1 record, and nothing carried that forward.","RULED by the analyst on 2026-08-14: reject, successor 3002.41.00.90. A carve-out rule was added as a WARNING and never a veto, in the same shape as swapped_term, because it fires on two rows in the whole delivery and both were argued over by hand. It found the second one: ROW 1, 3004.32.00.89 'Adrenal cortical hormones, nes', CAD 128,397,239, had been ACCEPTED onto hydrocortisone with a blank reason while 3004.32.00.19 'Medicaments containing corticosteroid hormones, nes', CAD 578,742,262, begins the month after it ends. That signed decision was reversed the same day. Three constraints keep the rule honest and each was added after a false positive on real data: the successor is never its own carve-out sibling, the term must be distinctive by substance_index's under-five-percent test, and a residual successor is never flagged. Without the third it refuted row 223, a link the analyst had just accepted. It does not overlap specific_vs_residual, which only examines links whose retiring line is specific, so the 5 retirements worth CAD 118,352,487 that gate protects are out of reach twice over.",2,11204634507,"four: the rule flags exactly the two rows it was built for, it removes nothing, a residual successor is never flagged, and every flag reaches the answer sheet. All four proven to fail."
99,2026-08-15,analyst,imports:3003.60.00.00:2025-08,3003.60.00.00,"Row 60, exports:3003.60.00, was ruled reject -> none because 'the line was not withdrawn, so there is no successor to name', and its own reason names row 207, the import twin on the IDENTICAL tariff line, as 'held undecided as too close to the end of the data'. One condition, two diagnoses, eight days apart. Measured across the delivery, 18 of 230 answered rows carry no stated termination and had received three different treatments: 5 reject -> none, 10 left blank into the Gate 2 bounded exception, and 3 accepted.",keying on the month money stopped rather than the month the record ends the classification,"stage1_candidates.py decided what counts as a retirement from trade behaviour alone: a 12-month calendar window, plus a sparsity limb comparing the silence to the longest gap the code had already come back from. Neither limb consults Statistics Canada's own '(Terminated YYYY-MM)' note, which stage0 has parsed since the beginning. The queue therefore asked a person to decide where trade went for 15 lines that were never withdrawn. This is the fourth instance of the class after M4, M6 and the 2026-08-11 concordance defect.","DECIDED by the analyst on 2026-08-15, option B of three put to them: the rows stay on the record rather than being dropped, and resolve to a new outcome, not_a_retirement, carrying no link. stage1_candidates.py now emits retirement_basis with two limbs, both from the record: declared, where the delivery carries a termination note, and code_reused, where a later span exists so the number was handed to different goods. Anything else is trade_ceased_only. Split 300 / 4 / 15, reconciling to CAD 179,549,284,391. held 10 -> 0, so Gate 2's bounded exception is dissolved and 'zero rows undecided' is reachable again. NOTHING MOVED INTO OR OUT OF succeeded on either flow: 297 links before and after, and 0 of the analyst's 1,150 cells changed.",15,345974865,"seven, each proven to fail by reinstating the defect with a byte-identical restore. Stage 1a: the basis is rebuilt from the inventory without calling the stage and must agree; the 300/4/15 split and its value are pinned; and no row is called a non-retirement from an era where the note is unreliable, 2000-2011 exports carrying it on only 4 of 16 spans. Stage 2: not_a_retirement is exactly Stage 1a's trade_ceased_only, read back from the written file; no such row carries a link; a successor named on one is REFUSED, because the record and the answer then disagree about whether the event happened; and no answer is erased by the record ruling over it. The queue's vacated 'holding recent retirements is not blanket' control was replaced rather than re-pinned at zero: it now asserts that the record and not the calendar decides, provable because the two sets overlap in time, 69 months quiet and not a retirement against 54 months quiet and declared."
100,2026-08-15,analyst,imports:3002.19.00.00:2021-12,3002.19.00.00,"Rows 213 and 222 were ruled unresolved on the ground that no single code succeeds 3002.19, and the reason cell rules out 3002.13, 3002.14 and 3002.15 without ever mentioning 3002.90.00.90. The analyst had already answered this line by hand on 2026-08-06, in a workbook at the toolkit root: the heading residual 3002.90.00.90 was widened at 2022-01, the month 3002.19 was deleted, to name antisera, vaccines and cell cultures. Verified against the delivery: exactly two import codes and one export code in the whole of Chapter 30 changed wording at a 2022 period, and 3002.90.00.90 and its export twin are among them.","text similarity cannot see that a description changed, only what it now says","Nothing in the pipeline computed a description change on a continuing code. The ranker scored 3002.90.00.90 on its post-2022 wording against 'Immunological products, nes' and returned 0.1646, rank 18 of 22, with no gate vetoing it. The candidate was present and unvetoed the whole time; it simply lost on wording to lines that share vocabulary. 89 import and 23 export description changes exist across the delivery, clustered at exactly the revision boundaries.","DECIDED by the analyst on 2026-08-15, option (a) of three: a WARNING, never a ranking. Promoting a candidate on this evidence was rejected as barred by the project's own layer order, under which text ranks and meaning may only veto, never select; a scope widening is evidence about meaning. widened_at_the_boundary() in make_adjudication_queue.py flags 5 retirements carrying CAD 2,685,731,855 and changes nothing: 297 links and CAD 177,237,096,019 before and after, and 0 of the analyst's cells moved. Four constraints, the load-bearing one being that both lives carry a residual marker; without it the rule fires on 3004.50.99.30, vet vitamins becoming human multivitamins on the same number, which is reuse in place rather than a widening.",5,2685731855,"five, each proven to fail by injection with a byte-identical restore: it flags exactly rows 66, 69, 213, 222 and 226; it removes nothing and every flagged row still shows its proposal; the line it names is never the proposal, which is the artefact-side statement of 'meaning may veto, never select'; every flagged line really is a leftover that kept and gained wording at that boundary, rebuilt from the inventory without calling the builder; and every flag reaches the answer sheet's check_this_again, including on CONFIRM rows, because a warning that goes quiet where the software is most confident is no warning."
101,2026-08-15,analyst,imports:3002.19.00.00:2021-12,3002.19.00.00,"The reason cells on rows 213 and 222 quote the WCO as saying 3002.19 'was considered by the HS Committee to be empty and it was therefore deleted'. Checked against evidence/wto/wto_ch30_pairs.csv, 3002.19 appears exactly twice in the whole file and both are the 2012-to-2017 boundary that CREATED it. It is absent from the 2017-to-2022 table entirely, and the 'empty' remark sits on a block whose codes are 3002.11, .13, .14 and .15. On the evidence file alone the quotation looks like a misattribution.",a guard that discards the thing it was protecting,"parse_page() refuses to let a line holding prose in the column zone start a data block. That guard is correct and is what stopped the parser inventing '3002.19 -> 3006.93' on WCO authority. But it dropped the whole line, including the code, so a subheading the document ADDRESSES and gives no destination for left no trace. The pairs file records correlations, and a deletion notice is not one, so there was nowhere for it to go.","NOT A MISATTRIBUTION. The PDF was opened and the sentence is there, on both independently typeset tables: page 9 of Table I as '(3002.19) This subheading was considered by the HS Committee as empty', and page 30 of Table II as '3002.19 This subheading was considered by the HS Committee to be empty and it was therefore deleted'. The reason cells quote it correctly. The extractor now captures such entries to evidence/wto/wto_ch30_statements.csv, a separate file: a statement has no counterpart, and putting it in the pairs file with an empty destination would make load_correlations() read a clean correlation as a split. wto_ch30_pairs.csv is byte-identical after the change, so no correlation moved.",2,1636154203,"three in check_stage1c_rank.py, each proven to fail by injection with a byte-identical restore. Both tables must record 3002.19 as deleted-as-empty, pinned on the CONTENT of the sentence rather than on a count, because asserting 'two statements exist' would pass on two empty strings. A wrapped remark must not run on into the codes beneath it, which is how the first version read '...therefore deleted 30.04 ex3006.93 Applicable subheadings of 30.04'. And a deletion notice must never appear as a correlation pair, which is the original defect."
102,2026-08-16,"automated review, verified by hand, 2026-08-15",imports:3002.10.10.10:2016-12,,"Stage 2's three successor-life columns, the successor's description and its first and last traded month, had no control of any kind, and 89 of 299 settled links carried a description from a life of the successor other than the one that receives the trade. 107 of 299 carried a span from the wrong life.",reading the wrong life of a code that has more than one,"stage2_apply_decisions.py built its lives map with one entry per CODE, keeping whichever life had the greatest last_period. A code recycled after a long gap has two lives, and the map answered every question about it with the later one, including questions asked about a retirement that happened decades earlier.","The map now holds one entry per LIFE, and every read names the life that is open at the month the record ends the retiring classification. The three columns are recomputed in the check from the inventory, sharing no code with the stage.",107,,"three in check_stage2_apply_decisions.py, one per column, each rebuilt from commodity_inventory rather than read back from the stage, and each proven to fail by reinstating the max-last_period map with a byte-identical restore afterwards. No published link moved: the columns are descriptive and the successor code itself was already correct."
103,2026-08-16,"automated review, verified by hand, 2026-08-15",exports:3004.90.10:1988-12,3004.90.10,"Stage 4 put EX-30049010, Medicaments nes in dosage for human use, which ended 1988-12, in the same family as cannabis, which began 2018-02. Stages 1a, 3 and 5 all refuse to cross that boundary; Stage 4 was the only stage that did not.",reading the wrong life of a code that has more than one,"Stage 4 built its components over code NUMBERS, codes as a sorted set of hs_code and edges as (retiring_code, successor), while every other stage works in trading SPANS. A recycled number is one node in that graph and two spans everywhere else, so it welded unrelated lineages into one family.","Components are now built over spans. The family identifier carries the anchor's own month, because once a family is a set of spans two families can be anchored on different lives of one number, and three export numbers are: 30029010, 30033100 and 30049010.",5,,"the five welds are named individually and pinned, so a re-weld fails by name rather than by count; imports 117 to 118 families and exports 45 to 48, both reconciled before they were re-pinned; the largest import family falls 21 to 17 codes as butter-making ferment cultures leave the toxoid family they had never belonged to."
104,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"check_stage4's control 'two strings cannot be given one identifier' passed, and it passed precisely BECAUSE the stage was giving two strings one identifier. Deleting the control changed nothing, which is the definition of a control that carries no information.",a guard that cannot fire,"The control credited a refusal in the stage that the stage's own grouping made unreachable: while families were keyed on code numbers, the duplicate could not present itself in the form the refusal tests for.","duplicate_identifiers() is lifted out of the stage so it can be called directly, and the control now provokes it with a synthetic pair rather than waiting for the delivery to produce one.",0,,"the refusal is provoked on input the delivery does not contain, and the probe is asserted to fail when the refusal is removed."
105,2026-08-16,"automated review, verified by hand, 2026-08-15",exports:3002.90.20:2016-11,3002.90.20,"Statistics Canada writes (Terminated 2016-12) against the CODE 30029020, so both of that code's description-records inherit it: the 1988 human-blood line and the 2000 to 2011 Saxitoxin line. Stage 0 recorded the note as a property of the description ERA, so a note about Saxitoxin made a line that ended in 1988-12 look declared, 336 months early.",keying on the month money stopped rather than the month the record ends the classification,stage0_read_source.py attached stated_termination to each description-record without asking which of the code's lives the note describes. 51 lives across the delivery carry a note written about another life of the same number.,"Stage 0 now writes stated_termination_is_this_life, computed by comparing the note against the first month of every LATER life of the same code: a note landing at or after a later life's first month belongs to that later life. The first attempt at this rule moved 43 rows and only 1 of them was right. The other 42 were notes landing after money stopped, which is the wrong-month class this project has now paid for six times.",1,331522,the attribution is re-derived in check_stage0 from the written file rather than read back; retirement_basis moves 300/4/15 to 299/5/15 and the single moving row is named; stage1c filters candidate wordings on the new column.
106,2026-08-16,"automated review, verified by hand, 2026-08-15",imports:3002.10.29.20:2021-12,,"The ranker scored each candidate against the candidate's LAST wording, so a candidate whose life had already closed when the record ended the retiring classification was compared on words it no longer bore. A word-for-word successor was hidden that way.",keying on the month money stopped rather than the month the record ends the classification,"wording_at() in stage1c_rank.py, and its twin description_shown() in make_adjudication_queue.py, both selected a life without reference to the month the retirement had to be received in.",Both now take the month the RECORD ends the classification and read the life in force then. Scores moved on 314 candidate rows across 74 retirements. No rule changed and nothing new was removed on meaning.,314,,the ranker's era selection is recomputed in check_stage1c from the inventory; three pinned queue figures moved with it and each was reconciled before re-pinning.
107,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"Stage 0 asserted the month the delivery BEGINS and never the month it ENDS. Truncating both source databases at 2025-12 removed CAD 18,085,120,609 and moved the last_period of 41 export and 112 import records, and Stage 0 accepted both truncated sources with no error and every export control still passing.",a guard that cannot fire,"Every source database records period_min and period_max in a metadata table, and nothing in pipeline/ or checks/ read it. The delivery's end was inferred from the data it was meant to validate, so any truncation validated itself. The one control over stated_termination_matches_data had the same shape: it asserted only that the column held yes or no, which the writer guarantees.","declared_period_range() reads period_min and period_max from the database, and describe_inventory refuses when the latest month observed is not the month the source declares. The stated_termination comparison is rebuilt from the two fields it is a function of rather than type-checked.",153,18085120609,"both proven to fail against truncated copies of the real databases in the scratchpad, restored byte-identically afterwards."
108,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"Stage 5's central control requires that re-walking every journey reproduces Stage 3's journey string exactly, for all 572 commodity strings. It could not fail: walked was built by appending Stage 3's own codes, so the comparison compared Stage 3's answer with itself.",a guard that cannot fire,The walk read the codes out of Stage 3's arrow-joined string instead of deriving the path independently.,"Stage 5 now derives the path the way Stage 3 derives it, from the successions Stage 2 settled, so the two can genuinely disagree.",0,,"proven inert before the change, by replacing a journey with a hop Stage 2 never settled and watching Stage 5 exit 0 and publish a step for the invented code, and proven able to fail after it."
109,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"step_first_period and step_last_period are published on every lineage row and were read by no control anywhere, and Stage 5's wording control could not detect a description taken from another era.",an unguarded published column,"The controls checked the shape of the lineage and the identity of its codes, and never the months or the words each step carries.","Both columns are rebuilt in check_stage5 from the inventory and the routed journeys, and the wording control now names the era it expects.",0,,"three, each proven to fail by perturbing one step's months and one step's wording, restored byte-identically afterwards."
110,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"The guard 'no earliest-wording map survives anywhere in the pipeline', this project's only structural defence against the era failure class it has now paid for six times, had never been provoked, and could not fire on two obvious spellings of the hazard it forbids.",a guard that cannot fire,"The matcher required the line to contain one of three literal tokens: descriptions[, best[ or [code]. A map spelled wording[hs] = ... or seen[code] = ... walked straight through it. It also read only the line the comparison sits on, while the assignment it guards is on the next line.","The test is now the SHAPE, a subscript assignment beside a first_period comparison, read over the three-line window an if/assign pair occupies, rather than three spellings someone happened to have written.",0,,"three probes: the matcher must catch a map named wording and one named seen, and must NOT fire on a first_period comparison that appends rather than writing a map. All three failed against the old matcher and pass against the new one."
111,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"Both controls guarding the tariff-schedule layer's narrowing report a clean result over an empty set. The layer answers 13 import and 9 export retirements and every one is silent_no_effect, so it removes 0 candidates: the too_early control's violation predicate is unreachable, and the six-digit recomputation's gate matches 0 rows in either flow.",a check that reports a clean result on no data,"Both controls counted the rows they iterated rather than the rows they examined, and printed the same line over nothing that they would print over a hundred real narrowings.","record_over() prints EMPTY rather than PASS when the subject is empty, and the subject SIZE is pinned at 0, so this check fails the day the schedule starts narrowing and someone must read the rows before re-pinning. Verified by hand that the schedule layer decides 13 import and 9 export rows and removes a candidate on none of them.",22,25925785137,"four probes over record_over itself, written in the same sitting: a pinned-at-0 subject that gains rows fails; one that loses rows fails; a real subject still reports the control's own verdict in both directions; and only the empty case is listed as EMPTY."
112,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"The docstring defence of the six-digit matching rule advertised its cost as 109 import candidates across 36 retirements and 22 export across 12. The check pinned 83 across 30 on imports, so the docstring was already stale, and neither figure is the cost: it is the size of the subject.",a measurement quoted as something it does not measure,"The would_exclude loop runs over EVERY retirement regardless of which layer answered it, and resolve() returns at the first layer that answers. The schedules are consulted last, so a row the concordance or the correlation tables already decided never reaches them.","Attributed by the layer that decided the row, verified by an independent reimplementation that reproduces both pins to the unit: on imports all 83 sit on rows the concordance (75 across 26) or the correlation tables (8 across 4) decided, and the schedule reads none of them. On exports 7 of 22 are on rows the schedule decides, and one of those, 30029020 retiring 2016-11, would lose BOTH its candidates, which is all_candidates_absent and returns the field intact for a ruling rather than excluding anything. The price actually payable is 5 candidates on 3 export rows plus 1 row diverted.",4,,"a new control pins the payable cost (5, 3, 1) separately from the measured subject (83/30 and 22/12), so a defence of the rule quotes what the rule costs; the docstring now states both and says which is which."
113,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"The guard on the topmost layer of the official record keyed its subject on the exact month while the stage keys on the year, so the 8 retirements the 2026-08-11 concordance correction was made for, CAD 167,730,730, sat outside the control's subject. A mutation test showed it passing when one of those 8 was demoted, while failing on an exact-month sibling.",keying on the month money stopped rather than the month the record ends the classification,"check_stage1b built named_codes keyed on (month, code) while pipeline/stage1b_official_record.py resolves the concordance on (year, code). The control therefore still encoded the pre-correction rule it was written to defend.","named_codes is keyed on (year, code) on both sides. The subject widens from 89 to 97 retirements and all 43 controls pass.",8,167730730,"the widened subject is asserted, and the mutation that the old control could not see now fails it."
114,2026-08-16,"automated review, verified by hand, 2026-08-15",,,"20 of the 61 published columns of the four newest artefacts could be overwritten on every row, with a garbage token or with blank, and the whole check suite stayed green. Among them were decided_by and decided_on, the provenance of 220 analyst judgements.",an unguarded published column,"The controls asserted the shape of each artefact and the identity of its codes, and never the columns copied across from an earlier stage. A copied column was treated as verified because its source was verified, which does not check the copying. Two controls in check_adjudication_queue.py do read the signatures, but they read decisions/stage2_decisions.csv, the source, so the transcription into the delivered artefact was verified by nothing.","Re-swept by hand on 2026-08-16 rather than taken from the audit: findings 102 and 109 had closed five of the twenty in the meantime, and Stage 4 had gained one, so the live count was 16 unguarded plus 1 caught only when blanked. Sixteen controls added across four checks, each rebuilding the column from the file the stage read it out of and never from the stage. The signature rule is keyed on whether the workbook holds a written decision, not on the artefact's authority column: the five not_a_retirement rows carry authority=delivery and were still written and signed by a person, so keying it the other way would have called those five forged.",124,,"sixteen, and the proof is checks/sweep_published_columns.py, which overwrites every column of every artefact on every row in both modes, runs the suite after each, and restores byte-identically between runs. Before: 16 unguarded and 1 one-sided on imports. After: 62 of 62 columns guarded on imports and 62 of 62 on exports, both modes caught on every one. The detail column's vocabulary is written out in the check rather than imported, and the list is closed, so a `held` row appearing tomorrow fails rather than being waved through."
115,2026-08-16,"automated review, verified by hand, 2026-08-15",exports:3004.90.10:1988-12,3004.90.10,"decisions/medicine_families.csv was keyed on (flow, hs_code) with no era, so a number with two lives got one entry describing whichever life the analyst had looked at. Queue row 2 is the 1988 line 'Medicaments nes, in dosage, for human use', which ended 1988-12, and it was shown the family recorded against the 2018 cannabis life of the same number. A control pinned that schema, so adding a per-era row would have broken a passing check.",reading the wrong life of a code that has more than one,"load_families() returned {(flow, hs_code): row} and none of the seven public functions took a month, so every one answered 'what is code X' rather than 'what was code X in the era that matters'. The table had no period column either, so the signature could not have been fixed alone.","Re-keyed on (flow, hs_code, first_period), with first_period and last_period written into the table. entry_at() reads the life open in a given month and entry_receiving() reads the life that could receive a retirement, mirroring stage1c_rank.wording_at and make_adjudication_queue.description_shown rather than inventing a second rule. All seven call sites now pass an era. With no month given, a code with several lives returns nothing rather than one of them, because an absent entry reads as unknown and that is the safe direction.",15,13951771261,"the schema control was replaced. The old one compared len({hs_code}) against len({(hs_code, flow)}), which differ only when a code appears under both flows; import codes are ten digits here and export codes eight, so it could not fail on any data this project can produce. It now asserts that no LIFE is classified twice and that every entry is keyed to a life the delivery holds, both provoked. Measured: 31 of 177 entries sat on multi-life numbers; 11 of 100 annotated queue rows were shown a family from another life, CAD 13,104,985,488, and 4 more were shown the wrong life of the successor, CAD 846,785,773."
